id,note,priority,createdAt,modifiedAt
1,"Belajar Rust untuk proyek baru","Tinggi","2025-03-01T08:00:00+00:00","2025-03-01T09:15:00+00:00"
2,"Beli bahan makanan di pasar","Sedang","2025-03-01T10:30:00+00:00",""
3,"Meeting dengan tim sales","Tinggi","2025-03-01T14:00:00+00:00","2025-03-01T14:45:00+00:00"
4,"Olahraga sore di taman","Rendah","2025-03-01T16:00:00+00:00",""
5,"Cek email dan balas pesan","Sedang","2025-03-02T09:00:00+00:00","2025-03-02T09:30:00+00:00"
6,"Riset tentang AI untuk presentasi","Tinggi","2025-03-02T11:00:00+00:00",""
7,"Cuci pakaian di laundry","Rendah","2025-03-02T13:00:00+00:00",""
8,"Telepon dokter untuk janji","Sedang","2025-03-02T15:00:00+00:00","2025-03-02T15:10:00+00:00"
9,"Debug kode aplikasi Rust","Tinggi","2025-03-03T09:30:00+00:00","2025-03-03T11:00:00+00:00"
10,"Baca buku tentang produktivitas","Rendah","2025-03-03T20:00:00+00:00",""
11,"Pesan tiket bioskop online","Sedang","2025-03-04T10:00:00+00:00",""
12,"Rapat proyek di kantor","Tinggi","2025-03-04T13:00:00+00:00","2025-03-04T14:30:00+00:00"
13,"Bersihkan meja kerja","Rendah","2025-03-04T16:00:00+00:00",""
14,"Latihan coding di Codewars","Sedang","2025-03-05T09:00:00+00:00","2025-03-05T10:00:00+00:00"
15,"Presentasi AI untuk klien","Tinggi","2025-03-05T14:00:00+00:00",""
16,"Jalan-jalan dengan temen","Rendah","2025-03-05T18:00:00+00:00",""
17,"Cek stok barang di gudang","Sedang","2025-03-06T10:00:00+00:00","2025-03-06T11:00:00+00:00"
18,"Upgrade aplikasi ke versi baru","Tinggi","2025-03-06T13:00:00+00:00","2025-03-06T15:00:00+00:00"
19,"Belanja keperluan rumah","Rendah","2025-03-06T17:00:00+00:00",""
20,"Diskusi dengan mentor","Sedang","2025-03-07T09:00:00+00:00",""
21,"Pelajari fitur baru Rust","Tinggi","2025-03-07T11:00:00+00:00","2025-03-07T12:30:00+00:00"
22,"Nonton serial favorit","Rendah","2025-03-07T20:00:00+00:00",""
23,"Buat laporan bulanan","Sedang","2025-03-08T10:00:00+00:00","2025-03-08T11:30:00+00:00"
24,"Review kode tim","Tinggi","2025-03-08T13:00:00+00:00",""
25,"Bereskan taman belakang","Rendah","2025-03-08T15:00:00+00:00",""
26,"Cek tagihan listrik","Sedang","2025-03-09T09:00:00+00:00","2025-03-09T09:15:00+00:00"
27,"Rencanakan libur akhir pekan","Tinggi","2025-03-09T11:00:00+00:00",""
28,"Baca artikel teknologi","Rendah","2025-03-09T19:00:00+00:00",""
29,"Atur jadwal mingguan","Sedang","2025-03-10T08:00:00+00:00","2025-03-10T08:30:00+00:00"
30,"Konsultasi dengan desainer","Tinggi","2025-03-10T14:00:00+00:00","2025-03-10T15:00:00+00:00"
31,"Main game untuk refreshing","Rendah","2025-03-10T20:00:00+00:00",""
32,"Cek update Rust compiler","Sedang","2025-03-11T09:00:00+00:00",""
33,"Rapat dengan tim teknis","Tinggi","2025-03-11T13:00:00+00:00","2025-03-11T14:00:00+00:00"
34,"Beli hadiah ulang tahun","Rendah","2025-03-11T16:00:00+00:00",""
35,"Latihan presentasi","Sedang","2025-03-12T10:00:00+00:00","2025-03-12T11:00:00+00:00"
36,"Deploy aplikasi ke server","Tinggi","2025-03-12T14:00:00+00:00",""
37,"Baca novel di malam hari","Rendah","2025-03-12T21:00:00+00:00",""
38,"Cek jadwal dokter mata","Sedang","2025-03-13T09:00:00+00:00","2025-03-13T09:10:00+00:00"
39,"Tulis dokumentasi proyek","Tinggi","2025-03-13T11:00:00+00:00","2025-03-13T12:30:00+00:00"
40,"Jogging di pagi hari","Rendah","2025-03-13T06:00:00+00:00",""
41,"Review kontrak baru","Sedang","2025-03-14T10:00:00+00:00",""
42,"Tes fitur aplikasi Rust","Tinggi","2025-03-14T13:00:00+00:00","2025-03-14T14:30:00+00:00"
43,"Bersihkan kamar","Rendah","2025-03-14T16:00:00+00:00",""
44,"Pesan makan malam online","Sedang","2025-03-15T18:00:00+00:00","2025-03-15T18:10:00+00:00"
45,"Riset tren teknologi 2025","Tinggi","2025-03-15T09:00:00+00:00",""
46,"Meditasi sebelum tidur","Rendah","2025-03-15T21:00:00+00:00",""
47,"Cek jadwal kereta","Sedang","2025-03-16T10:00:00+00:00","2025-03-16T10:15:00+00:00"
48,"Finalisasi desain UI","Tinggi","2025-03-16T14:00:00+00:00","2025-03-16T15:30:00+00:00"
49,"Beli perlengkapan kantor","Rendah","2025-03-16T17:00:00+00:00",""
50,"Diskusi strategi pemasaran","Sedang","2025-03-17T11:00:00+00:00",""
51,"Belajar Rust async","Tinggi","2025-03-17T13:00:00+00:00","2025-03-17T14:00:00+00:00"
52,"Nonton film dokumenter","Rendah","2025-03-17T20:00:00+00:00",""
53,"Atur ulang playlist musik","Sedang","2025-03-18T09:00:00+00:00","2025-03-18T09:30:00+00:00"
54,"Rapat evaluasi proyek","Tinggi","2025-03-18T14:00:00+00:00",""
55,"Bersihkan laptop","Rendah","2025-03-18T16:00:00+00:00",""
56,"Cek promo tiket pesawat","Sedang","2025-03-19T10:00:00+00:00","2025-03-19T10:20:00+00:00"
57,"Optimasi kode backend","Tinggi","2025-03-19T13:00:00+00:00","2025-03-19T15:00:00+00:00"
58,"Baca blog tentang Rust","Rendah","2025-03-19T19:00:00+00:00",""
59,"Buat jadwal olahraga","Sedang","2025-03-20T08:00:00+00:00",""
60,"Demo aplikasi ke klien","Tinggi","2025-03-20T14:00:00+00:00","2025-03-20T15:30:00+00:00"
61,"Bereskan dokumen lama","Rendah","2025-03-20T17:00:00+00:00",""
62,"Cek status pengiriman paket","Sedang","2025-03-21T10:00:00+00:00","2025-03-21T10:10:00+00:00"
63,"Pelajari Rust macros","Tinggi","2025-03-21T11:00:00+00:00",""
64,"Main catur online","Rendah","2025-03-21T20:00:00+00:00",""
65,"Rencanakan budget bulan depan","Sedang","2025-03-22T09:00:00+00:00","2025-03-22T10:00:00+00:00"
66,"Testing API baru","Tinggi","2025-03-22T13:00:00+00:00","2025-03-22T14:30:00+00:00"
67,"Baca komik favorit","Rendah","2025-03-22T19:00:00+00:00",""
68,"Cek ulasan produk online","Sedang","2025-03-23T10:00:00+00:00",""
69,"Riset library Rust","Tinggi","2025-03-23T11:00:00+00:00","2025-03-23T12:00:00+00:00"
70,"Jalan pagi di taman","Rendah","2025-03-23T06:00:00+00:00",""
71,"Atur meeting mingguan","Sedang","2025-03-24T09:00:00+00:00","2025-03-24T09:15:00+00:00"
72,"Refactor kode frontend","Tinggi","2025-03-24T13:00:00+00:00",""
73,"Beli camilan sore","Rendah","2025-03-24T16:00:00+00:00",""
74,"Cek jadwal bioskop","Sedang","2025-03-25T10:00:00+00:00","2025-03-25T10:10:00+00:00"
75,"Pelajari Rust ownership","Tinggi","2025-03-25T11:00:00+00:00","2025-03-25T12:30:00+00:00"
76,"Baca berita teknologi","Rendah","2025-03-25T19:00:00+00:00",""
77,"Pesan kado untuk temen","Sedang","2025-03-26T09:00:00+00:00",""
78,"Rapat dengan vendor","Tinggi","2025-03-26T14:00:00+00:00","2025-03-26T15:00:00+00:00"
79,"Bersihkan garasi","Rendah","2025-03-26T17:00:00+00:00",""
80,"Cek update software","Sedang","2025-03-27T10:00:00+00:00","2025-03-27T10:20:00+00:00"
81,"Tulis proposal proyek","Tinggi","2025-03-27T13:00:00+00:00",""
82,"Nonton video tutorial","Rendah","2025-03-27T20:00:00+00:00",""
83,"Rencanakan makan malam","Sedang","2025-03-28T09:00:00+00:00","2025-03-28T09:30:00+00:00"
84,"Debug fitur login","Tinggi","2025-03-28T11:00:00+00:00","2025-03-28T12:00:00+00:00"
85,"Baca majalah teknologi","Rendah","2025-03-28T19:00:00+00:00",""
86,"Cek jadwal gym","Sedang","2025-03-29T08:00:00+00:00",""
87,"Riset Rust untuk IoT","Tinggi","2025-03-29T13:00:00+00:00","2025-03-29T14:30:00+00:00"
88,"Bereskan kabel charger","Rendah","2025-03-29T16:00:00+00:00",""
89,"Atur ulang folder dokumen","Sedang","2025-03-30T09:00:00+00:00","2025-03-30T09:45:00+00:00"
90,"Presentasi hasil riset","Tinggi","2025-03-30T14:00:00+00:00",""
91,"Baca buku fiksi","Rendah","2025-03-30T20:00:00+00:00",""
92,"Cek promo hotel","Sedang","2025-03-31T10:00:00+00:00","2025-03-31T10:15:00+00:00"
93,"Pelajari Rust lifetimes","Tinggi","2025-03-31T11:00:00+00:00","2025-03-31T12:30:00+00:00"
94,"Jalan sore di pantai","Rendah","2025-03-31T17:00:00+00:00",""
95,"Rencanakan rapat bulanan","Sedang","2025-04-01T09:00:00+00:00",""
96,"Deploy update aplikasi","Tinggi","2025-04-01T13:00:00+00:00","2025-04-01T14:00:00+00:00"
97,"Baca ulasan gadget","Rendah","2025-04-01T19:00:00+00:00",""
98,"Cek jadwal webinar","Sedang","2025-04-02T10:00:00+00:00","2025-04-02T10:10:00+00:00"
99,"Tulis blog tentang Rust","Tinggi","2025-04-02T11:00:00+00:00",""
100,"Bersihkan tas kerja","Rendah","2025-04-02T16:00:00+00:00",""